"Показник","Територіальний розріз","Вид продукції","Елемент","Періодичність","2015","2016","2017","2018","2019","2020","2021"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Хмельницька","Загалом","Не застосовується","Річна","","","","","2890","2928.876615","2871"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Черкаська","Загалом","Не застосовується","Річна","","","","","3006","2968.852394","2979"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Чернівецька","Загалом","Не застосовується","Річна","","","","","2861","2821.460792","2931"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Чернігівська","Загалом","Не застосовується","Річна","","","","","3049","3022.654527","2997"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Аскорбінова кислота","Річна","","","7","7","7","7","7"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Еквівалент бета-каротину","Річна","","","107","106","108","109","109"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Кальцій","Річна","","","597","591","599","603","602"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Жири","Річна","","","54.5","55","55.9","56","55.4"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Залізо","Річна","","","4.1","4.1","4.1","4.1","4.1"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Ніацин","Річна","","","6.4","6.5","6.6","6.6","6.5"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Протеїн","Річна","","","41.8","42.2","42.9","43","42.5"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Ретинол","Річна","","","1044","1034","1049","1055","1051"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Еквівалент ретинолу і бета-каротину  (RET+ 1/6 B-CARQ)","Річна","","","1062","1052","1067","1073","1069"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Рибофлавін","Річна","","","1.83","1.9","1.9","1.9","1.9"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція тваринництва","Тіамін","Річна","","","0.42","0.4","0.4","0.4","0.4"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Аскорбінова кислота","Річна","","","126","129","128","126","128"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Еквівалент бета-каротину","Річна","","","2134","2191","2202","2192","2219"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Кальцій","Річна","","","277","281","280","277","277"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Жири","Річна","","","35.4","35.8","35.9","36.7","39.8"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Залізо","Річна","","","16.1","16.1","15.8","15.6","15.3"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Ніацин","Річна","","","12.2","12.1","11.9","11.8","11.6"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Протеїн","Річна","","","42.5","42.1","41.4","40.9","39.8"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Ретинол","Річна","","","","","","",""
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Еквівалент ретинолу і бета-каротину  (RET+ 1/6 B-CARQ)","Річна","","","357","366","368","367","371"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Рибофлавін","Річна","","","0.66","0.7","0.7","0.7","0.7"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Продукція рослинництва","Тіамін","Річна","","","1.39","1.4","1.4","1.4","1.4"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Аскорбінова кислота","Річна","","","133","136","135","133","135"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Еквівалент бета-каротину","Річна","","","2241","2297","2310","2301","2328"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Кальцій","Річна","","","874","872","879","880","879"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Жири","Річна","","","89.9","90.8","91.8","92.7","95.2"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Залізо","Річна","","","20.2","20.2","19.9","19.7","19.4"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Ніацин","Річна","","","18.6","18.6","18.5","18.4","18.1"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Протеїн","Річна","","","84.3","84.3","84.3","83.9","82.3"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Ретинол","Річна","","","1044","1034","1049","1055","1051"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Еквівалент ретинолу і бета-каротину  (RET+ 1/6 B-CARQ)","Річна","","","1419","1418","1435","1440","1440"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Рибофлавін","Річна","","","2.49","2.6","2.6","2.6","2.6"
"Середньодобове споживання населенням основних мікро- та   макроелементів у складі продуктів харчування у розрахунку на одну особу","Україна","Загалом","Тіамін","Річна","","","1.81","1.8","1.8","1.8","1.8"
"Обсяг споживання населенням продуктів харчування","Україна","Яловичина і телятина","Не застосовується","Річна","","","","","324","337","299"
"Обсяг споживання населенням продуктів харчування","Україна","Хлібні продукти","Не застосовується","Річна","","","","","4102.7","4034.2","3837.6"
"Обсяг споживання населенням продуктів харчування","Україна","Яйця","Не застосовується","Річна","","","","","11832.3","11604.8","11262.6"
"Обсяг споживання населенням продуктів харчування","Україна","Риба та рибні продукти","Не застосовується","Річна","","","","","523.9","517.4","547.7"
"Обсяг споживання населенням продуктів харчування","Україна","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","2469","2356.9","2440.4"
"Обсяг споживання населенням продуктів харчування","Україна","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","2252.2","2244.1","2191.2"
"Обсяг споживання населенням продуктів харчування","Україна","Інші види м'яса","Не застосовується","Річна","","","","","37","32","33"
"Обсяг споживання населенням продуктів харчування","Україна","Молоко та молочні продукти","Не застосовується","Річна","","","","","8427.9","8430.3","8337.3"
"Обсяг споживання населенням продуктів харчування","Україна","Олія","Не застосовується","Річна","","","","","504.4","512.4","563.6"
"Обсяг споживання населенням продуктів харчування","Україна","Свинина","Не застосовується","Річна","","","","","799","786","824"
"Обсяг споживання населенням продуктів харчування","Україна","Картопля","Не застосовується","Річна","","","","","5705.2","5593.1","5480.2"
"Обсяг споживання населенням продуктів харчування","Україна","М'ясо птиці","Не застосовується","Річна","","","","","1092","1089","1035"
"Обсяг споживання населенням продуктів харчування","Україна","Цукор","Не застосовується","Річна","","","","","1212.2","1161.3","1180.5"
"Обсяг споживання населенням продуктів харчування","Україна","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","6923.8","6845.5","6866.1"
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Хлібні продукти","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Яйця","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Риба та рибні продукти","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Молоко та молочні продукти","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Олія","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Картопля","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Цукор","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Автономна Республіка Крим","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","","",""
"Обсяг споживання населенням продуктів харчування","Вінницька","Хлібні продукти","Не застосовується","Річна","","","","","173.1","171.4","165.9"
"Обсяг споживання населенням продуктів харчування","Вінницька","Яйця","Не застосовується","Річна","","","","","456.7","459.5","437.3"
"Обсяг споживання населенням продуктів харчування","Вінницька","Риба та рибні продукти","Не застосовується","Річна","","","","","23.9","22.6","23.2"
"Обсяг споживання населенням продуктів харчування","Вінницька","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","98.6","97.7","99.8"
"Обсяг споживання населенням продуктів харчування","Вінницька","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","87.6","88.4","89.2"
"Обсяг споживання населенням продуктів харчування","Вінницька","Молоко та молочні продукти","Не застосовується","Річна","","","","","308.9","308.8","299"
"Обсяг споживання населенням продуктів харчування","Вінницька","Олія","Не застосовується","Річна","","","","","20.8","20.5","22.2"
"Обсяг споживання населенням продуктів харчування","Вінницька","Картопля","Не застосовується","Річна","","","","","256.9","258.2","244.3"
"Обсяг споживання населенням продуктів харчування","Вінницька","Цукор","Не застосовується","Річна","","","","","47.5","46.3","48.6"
"Обсяг споживання населенням продуктів харчування","Вінницька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","259.6","268.2","267.7"
"Обсяг споживання населенням продуктів харчування","Волинська","Хлібні продукти","Не застосовується","Річна","","","","","109.1","113.3","103.8"
"Обсяг споживання населенням продуктів харчування","Волинська","Яйця","Не застосовується","Річна","","","","","283.1","293.4","294.5"
"Обсяг споживання населенням продуктів харчування","Волинська","Риба та рибні продукти","Не застосовується","Річна","","","","","12.9","13.9","13.5"
"Обсяг споживання населенням продуктів харчування","Волинська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","50.9","53.8","53.8"
"Обсяг споживання населенням продуктів харчування","Волинська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","55.3","56.7","57"
"Обсяг споживання населенням продуктів харчування","Волинська","Молоко та молочні продукти","Не застосовується","Річна","","","","","213.8","215.4","233"
"Обсяг споживання населенням продуктів харчування","Волинська","Олія","Не застосовується","Річна","","","","","12.2","12.9","14.3"
"Обсяг споживання населенням продуктів харчування","Волинська","Картопля","Не застосовується","Річна","","","","","190","183.7","184.1"
"Обсяг споживання населенням продуктів харчування","Волинська","Цукор","Не застосовується","Річна","","","","","32.7","32.3","31.8"
"Обсяг споживання населенням продуктів харчування","Волинська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","160.1","169.3","168.5"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Хлібні продукти","Не застосовується","Річна","","","","","291.1","280.5","273.3"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Яйця","Не застосовується","Річна","","","","","970.2","956.6","898.3"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Риба та рибні продукти","Не застосовується","Річна","","","","","41.5","41.1","43.5"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","217.3","201.4","207"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","210.3","207.3","192.7"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Молоко та молочні продукти","Не застосовується","Річна","","","","","630.3","620.5","625.9"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Олія","Не застосовується","Річна","","","","","40.3","41.5","45.2"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Картопля","Не застосовується","Річна","","","","","364.2","365.5","372.1"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Цукор","Не застосовується","Річна","","","","","91","86.1","84.3"
"Обсяг споживання населенням продуктів харчування","Дніпропетровська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","567.7","531.1","537"
"Обсяг споживання населенням продуктів харчування","Донецька","Хлібні продукти","Не застосовується","Річна","","","","","398.7","384","350.9"
"Обсяг споживання населенням продуктів харчування","Донецька","Яйця","Не застосовується","Річна","","","","","1058","1034.8","999.8"
"Обсяг споживання населенням продуктів харчування","Донецька","Риба та рибні продукти","Не застосовується","Річна","","","","","53.6","51.5","50.6"
"Обсяг споживання населенням продуктів харчування","Донецька","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","189.2","174.1","177.4"
"Обсяг споживання населенням продуктів харчування","Донецька","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","206.3","200.6","189.3"
"Обсяг споживання населенням продуктів харчування","Донецька","Молоко та молочні продукти","Не застосовується","Річна","","","","","706.8","704.7","696.4"
"Обсяг споживання населенням продуктів харчування","Донецька","Олія","Не застосовується","Річна","","","","","45.7","44.5","52.2"
"Обсяг споживання населенням продуктів харчування","Донецька","Картопля","Не застосовується","Річна","","","","","382.5","380.7","379.4"
"Обсяг споживання населенням продуктів харчування","Донецька","Цукор","Не застосовується","Річна","","","","","118.2","110.3","111"
"Обсяг споживання населенням продуктів харчування","Донецька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","595.5","577.8","587"
"Обсяг споживання населенням продуктів харчування","Житомирська","Хлібні продукти","Не застосовується","Річна","","","","","125.5","124.6","114.4"
"Обсяг споживання населенням продуктів харчування","Житомирська","Яйця","Не застосовується","Річна","","","","","390.1","381.8","357"
"Обсяг споживання населенням продуктів харчування","Житомирська","Риба та рибні продукти","Не застосовується","Річна","","","","","18.2","17.3","16.4"
"Обсяг споживання населенням продуктів харчування","Житомирська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","66.3","59.9","65.3"
"Обсяг споживання населенням продуктів харчування","Житомирська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","65.8","65.1","61.9"
"Обсяг споживання населенням продуктів харчування","Житомирська","Молоко та молочні продукти","Не застосовується","Річна","","","","","253.8","243.7","244.6"
"Обсяг споживання населенням продуктів харчування","Житомирська","Олія","Не застосовується","Річна","","","","","13.8","13.8","15.9"
"Обсяг споживання населенням продуктів харчування","Житомирська","Картопля","Не застосовується","Річна","","","","","220.9","220.6","214.3"
"Обсяг споживання населенням продуктів харчування","Житомирська","Цукор","Не застосовується","Річна","","","","","32.6","32","31.3"
"Обсяг споживання населенням продуктів харчування","Житомирська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","199.5","203.4","201.9"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Хлібні продукти","Не застосовується","Річна","","","","","143.1","146.1","134.5"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Яйця","Не застосовується","Річна","","","","","335.1","351.8","342.7"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Риба та рибні продукти","Не застосовується","Річна","","","","","10","10","12.1"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","70","65.4","71.3"
"Обсяг споживання населенням продуктів харчування","Закарпатська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","62.6","65.3","66.6"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Молоко та молочні продукти","Не застосовується","Річна","","","","","289.7","291.5","297.1"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Олія","Не застосовується","Річна","","","","","14.5","15.8","17.5"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Картопля","Не застосовується","Річна","","","","","190.2","192.2","190.1"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Цукор","Не застосовується","Річна","","","","","36.9","35.5","36"
"Обсяг споживання населенням продуктів харчування","Закарпатська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","196.7","213","216.2"
"Обсяг споживання населенням продуктів харчування","Запорізька","Хлібні продукти","Не застосовується","Річна","","","","","150.7","156.3","144.1"
"Обсяг споживання населенням продуктів харчування","Запорізька","Яйця","Не застосовується","Річна","","","","","444.5","461.2","432.7"
"Обсяг споживання населенням продуктів харчування","Запорізька","Риба та рибні продукти","Не застосовується","Річна","","","","","23.1","22.1","22.2"
"Обсяг споживання населенням продуктів харчування","Запорізька","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","91.3","88.1","95.9"
"Обсяг споживання населенням продуктів харчування","Запорізька","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","93.3","94.1","91.7"
"Обсяг споживання населенням продуктів харчування","Запорізька","Молоко та молочні продукти","Не застосовується","Річна","","","","","290.8","302.5","290.7"
"Обсяг споживання населенням продуктів харчування","Запорізька","Олія","Не застосовується","Річна","","","","","20","20.5","22.1"
"Обсяг споживання населенням продуктів харчування","Запорізька","Картопля","Не застосовується","Річна","","","","","168.8","161.3","160.3"
"Обсяг споживання населенням продуктів харчування","Запорізька","Цукор","Не застосовується","Річна","","","","","48.9","46","48.7"
"Обсяг споживання населенням продуктів харчування","Запорізька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","278.6","289.4","289.7"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Хлібні продукти","Не застосовується","Річна","","","","","153","153.9","148.1"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Яйця","Не застосовується","Річна","","","","","361.9","376.7","359.2"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Риба та рибні продукти","Не застосовується","Річна","","","","","12.3","12.8","13.4"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Плоди, ягоди та виноград","Не застосовується","Річна","","","","","75","74.2","79"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","М'ясо та м'ясні продукти","Не застосовується","Річна","","","","","66.8","68","69.4"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Молоко та молочні продукти","Не застосовується","Річна","","","","","379.2","410.2","378.4"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Олія","Не застосовується","Річна","","","","","16.8","17.1","19.7"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Картопля","Не застосовується","Річна","","","","","260","255.6","248.3"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Цукор","Не застосовується","Річна","","","","","44.5","43","45.9"
"Обсяг споживання населенням продуктів харчування","Івано-Франківська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","","","","","198.5","211.1","211.9"
