"Показник","Територіальний розріз","Категорія розрізу","Розріз","Стать","Тип домогосподарства","Періодичність","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12"
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","61","","","","33","","","","40","","","","49","","","","","29","","","","28","","","","19","","","","45","","","","","37","","","","27","","","","17","","","","32","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","58","","","","35","","","","33","","","","49","","","","","40","","","","18","","","","37","","","","59","","","","","65","","","","23","","","","50","","","","35","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Загалом","Квартальна","","59","","","","34","","","","36","","","","49","","","","","36","","","","23","","","","30","","","","53","","","","","54","","","","25","","","","37","","","","33","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","1","","","","1","","","","3","","","","1","","","","","1","","","","1","","","","2","","","","2","","","","","1","","","","2","","","","1","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","1","","","","0","","","","1","","","","1","","","","","1","","","","1","","","","2","","","","2","","","","","3","","","","1","","","","1","","","","3","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Загалом","Квартальна","","1","","","","1","","","","2","","","","1","","","","","1","","","","1","","","","2","","","","2","","","","","2","","","","1","","","","1","","","","2","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","0","","","","","","","","1","","","","","","","","","5","","","","12","","","","8","","","","14","","","","","21","","","","0","","","","12","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","0","","","","1","","","","4","","","","","","","","","1","","","","7","","","","3","","","","8","","","","","1","","","","3","","","","1","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Загалом","Квартальна","","0","","","","1","","","","3","","","","","","","","","2","","","","9","","","","5","","","","11","","","","","11","","","","2","","","","6","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","24","","","","1","","","","2","","","","18","","","","","25","","","","38","","","","20","","","","43","","","","","55","","","","0","","","","44","","","","41","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","4","","","","8","","","","8","","","","46","","","","","5","","","","3","","","","11","","","","8","","","","","34","","","","2","","","","9","","","","41","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Загалом","Квартальна","","9","","","","6","","","","6","","","","38","","","","","11","","","","7","","","","12","","","","12","","","","","36","","","","1","","","","17","","","","41","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі забито в господарстві","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","59","","","","49","","","","50","","","","57","","","","","63","","","","46","","","","55","","","","69","","","","","59","","","","49","","","","54","","","","63","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі забито в господарстві","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","67","","","","53","","","","53","","","","65","","","","","61","","","","51","","","","57","","","","67","","","","","73","","","","57","","","","56","","","","68","","",""
