"Показник","Територіальний розріз","Вид сільськогосподарської продукції","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02"
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Культури зернові та зернобобові","Місячна","7095.1","7231.3","7301.5","7284.9","7247.7","7152","6930.9","6869.7","6822.3","6670.6","6678.2","6673.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Кукурудза","Місячна","6806.5","6831.3","6876.1","6867.5","6989.4","7010.8","7010.4","7011.2","6902.9","6504.3","6427.2","6399.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6399.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Насіння соняшнику","Місячна","17184.9","17174.7","18190.6","18265.4","18438.2","18365.7","18348.1","18348.1","17885.8","17516","17655.6","17826.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця","Місячна","7295.6","7404.2","7346.1","7225.3","7092.4","6931.3","6690.1","6634.3","6665.1","6688.4","6768.9","6804.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6804.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","6925.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6856.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6615.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Ячмінь","Місячна","","","","","","","5470.2","5482.3","5529.2","5574.8","5589.3","5647.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5647.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Культури зернові та зернобобові","Місячна","6523.4","6575.7","6632.6","6606.8","6549.6","6525.8","6238.8","6157.5","6182.3","6164.6","6206.8","6082.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Кукурудза","Місячна","","6411","6429.1","6463.2","6523.4","6619.5","6623.7","6621.2","6623.7","6457.2","6360.1","6017.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6017.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Насіння ріпаку й кользи","Місячна","","","","","","","","","16389.7","16415.3","16415.6","16415.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Боби сої","Місячна","","15014.9","15856.2","15988.8","16252.3","16417.3","16521.6","16522.3","16432.9","15398.8","15196.9","15134.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця","Місячна","","","","","","","","","6266","6303.1","6359.6","6420.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6420.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6363.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Ячмінь","Місячна","6853.1","6721.7","6726.8","6663.5","6593.9","6098.3","6014.4","6008.5","6011.2","6051.1","6112.5","6147.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","6144.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Культури зернові та зернобобові","Місячна","6928.8","7052.9","7033.2","6821.7","6780.1","6637.9","6270.3","6286.9","6339.2","6373.4","6442.8","6558.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Кукурудза","Місячна","6696.3","6883.3","6959.4","6622.4","6680.7","6706.2","6706.2","6704.4","6687.3","6416","6370.3","6369","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6259.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Насіння ріпаку й кользи","Місячна","","","","","","","","15944.5","16007.5","16007.5","16007.5","16007.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Насіння соняшнику","Місячна","17137.8","18408.9","19450.2","20335.5","20757.1","20686.7","20292.9","20092.1","18459.3","17566.9","17377.9","17247.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця","Місячна","7321","7373.5","7226","7010.5","6904.8","6844.5","6349.8","6361","6440.4","6497.5","6584.1","6733.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6733.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","6902.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6748.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6520.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Ячмінь","Місячна","","","","","","","5225.8","5364.3","5555.7","5575.2","5584","5587.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5347.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Культури зернові та зернобобові","Місячна","6617.4","6735.3","6704.7","6707.8","6751","6737.4","6516.5","6483.4","6587","6551.9","6453.9","6426.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Кукурудза","Місячна","6516.6","6641.2","6595.9","6572.6","6612.4","6657","6653.7","6659.1","6669.5","6440.1","6233","6160.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6160.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Насіння ріпаку й кользи","Місячна","","","","","","","","16162.3","16204.3","16211.1","16211.1","16211.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Насіння соняшнику","Місячна","","","","","","","","","","","","16228.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Боби сої","Місячна","","","15673.9","15849.1","15908.7","15974.8","15979.8","15977","15711.4","15390.1","15212.6","14993.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця","Місячна","6982.7","7073.4","7052","7186.8","7174","7115.8","5966.5","6102.2","6335.6","6360.7","6376.4","6403.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6403.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","6766.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6550","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6160.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Ячмінь","Місячна","6153.6","6580.2","6633.7","6528.1","6482.9","6174.2","5449.1","5524.6","5571.5","5601.3","5667.1","5795.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5794.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Культури зернові та зернобобові","Місячна","7191","7172.1","6993.5","6808.3","6786.2","6705.8","6093.4","6183.9","6268.8","6331.2","6451.8","6573.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Кукурудза","Місячна","","","6851.2","6824.1","6841.2","6847.6","6847.6","6847.6","6467.1","6329.2","6341.3","6388.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","6388.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Насіння ріпаку й кользи","Місячна","","","","","","","15866.8","16161.2","16415","16415.8","16415.8","16415.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Насіння соняшнику","Місячна","16695.2","17134.6","17821.1","18157.8","18422.9","18381.7","18356.2","18346.9","17696","17429.2","17400.7","17341.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця","Місячна","7279.5","7320.2","7046.6","6838.4","6813.2","6789.1","6232.4","6310.8","6405.2","6477.4","6621.3","6755.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","6755.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","6911.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","6837.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","6342.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Кукурудза","Місячна","","","","","","","","","","","","","",""
